Model,Type,ROI %,Trades,Win Rate %,Profit Factor,Beat Benchmark
MA Crossover,Technical,21.465247065703732,6,16.666666666666664,2.950414286755133,BASELINE
OBV Divergence,Technical,5.508197461704074,19,47.368421052631575,1.6145450212007753,❌ NO
Chandelier Trend,Technical,3.820920761166719,32,31.25,1.1370493971481426,❌ NO
ML_LOGISTIC,ML,1.5010810884409842,3,33.33333333333333,1.734185234611842,❌ NO
ML_XGBOOST,ML,0.0,0,0.0,0.0,❌ NO
ML_ADABOOST,ML,0.0,0,0.0,0.0,❌ NO
ML_KNN,ML,-2.0027160558910584,4,25.0,0.3750056973165132,❌ NO
ML_RANDOM_FOREST,ML,-5.157650920880171,6,16.666666666666664,0.005954991440709835,❌ NO
ML_GRADIENT_BOOSTING,ML,-10.080491767341128,11,0.0,0.0,❌ NO
Trend Pullback,Technical,-29.04899729436542,100,37.0,0.5591866123518688,❌ NO
